"var.name","output.name"
"TEMP","dyresmTEMPTURE_Var"
"DO","dyresmDO_Var"
"TP","dyresmTP_Var"
"NO3","dyresmNO3_Var"
"NH4","dyresmNH4_Var"
"TN","dyresmTN_Var"
"CHLOR","dyresmCHLOR_Var"
"FDIAT","dyresmFDIAT_Var"
"SSOL1","dyresmSSOL1_Var"
"SSOL2","dyresmSSOL2_Var"
"PO4","dyresmPO4_Var"
"SALINITY","dyresmSALINITY_Var"
"EVAP","dyresmEVAP_DAILY_Var"
"NODUL","dyresmNODUL_Var"
"CYANO","dyresmCYANO_Var"
"CRYPT","dyresmCRYPT_Var"
"CHLA","dyresmCHLOR_Var"
"CHLA","dyresmFDIAT_Var"
"CHLA","dyresmNODUL_Var"
"CHLA","dyresmCYANO_Var"
"CHLA","dyresmCRYPT_Var"
"WDR.VOL","withdrawal_OutflowVOL_Var"
"WDR.TEMP","withdrawal_OutflowTEMPTURE_Var"
"WDR.SALINITY","withdrawal_OutflowSALINITY_Var"
"WDR.DO","withdrawal_OutflowDO_Var"
"WDR.NH4","withdrawal_OutflowNH4_Var"
"WDR.NO3","withdrawal_OutflowNO3_Var"
"WDR.PO4","withdrawal_OutflowPO4_Var"
"WDR.TN","withdrawal_OutflowTN_Var"
"WDR.TP","withdrawal_OutflowTP_Var"
"WDR.CHLA","withdrawal_OutflowNODUL_Var"
"WDR.NODUL","withdrawal_OutflowNODUL_Var"
"WDR.CHLA","withdrawal_OutflowCYANO_Var"
"WDR.CYANO","withdrawal_OutflowCYANO_Var"
"WDR.CHLA","withdrawal_OutflowFDIAT_Var"
"WDR.FDIAT","withdrawal_OutflowFDIAT_Var"
"WDR.CHLA","withdrawal_OutflowCHLOR_Var"
"WDR.CHLOR","withdrawal_OutflowCHLOR_Var"
"WDR.CHLA","withdrawal_OutflowCRYPT_Var"
"WDR.CRYPT","withdrawal_OutflowCRYPT_Var"
"WDR.POPL","withdrawal_OutflowPOPL_Var"
"WDR.DOPL","withdrawal_OutflowDOPL_Var"
"WDR.IP.CYA","withdrawal_OutflowIP_CYA_Var"
"WDR.IP.NOD","withdrawal_OutflowIP_NOD_Var"
"WDR.IP.CHL","withdrawal_OutflowIP_CHL_Var"
"WDR.IP.CRY","withdrawal_OutflowIP_CRY_Var"
"WDR.IP.FDI","withdrawal_OutflowIP_FDI_Var"
"INF1.VOL","stream_1_VOL"
"INF2.VOL","stream_2_VOL"
"INF1.PO4","stream_1_PO4"
"INF2.PO4","stream_2_PO4"
"INF1.DOPL","stream_1_DOPL"
"INF2.DOPL","stream_2_DOPL"
"INF1.TEMP","stream_1_TEMPTURE"
"INF2.TEMP","stream_2_TEMPTURE"
"INF1.SALINITY","stream_1_SALINITY"
"INF2.SALINITY","stream_2_SALINITY"
"INF1.DO","stream_1_DO"
"INF2.DO","stream_2_DO"
"INF1.NH4","stream_1_NH4"
"INF2.NH4","stream_2_NH4"
"INF1.NO3","stream_1_NO3"
"INF2.NO3","stream_2_NO3"
"INF1.DONL","stream_1_DONL"
"INF2.DONL","stream_2_DONL"
